85,544
62,1072
19,1017
17,991
69,1118
77,1484
88,857
71,720
41,959
56,815
48,1325
14,854
17,571
58,666
10,965
93,538
64,599
75,1383
80,899
73,1449
27,994
32,1141
97,583
15,1309
60,1061
43,1317
85,1046
52,1183
44,1500
40,990
20,1069
46,1164
41,1329
64,1474
56,800
22,1436
39,1043
40,525
54,1318
26,1049
78,1149
65,643
76,1106
17,691
70,865
17,1261
88,1090
70,1482
27,1161
55,526
24,1067
62,634
28,728
42,926
18,875
39,1304
33,1221
47,1408
64,963
71,1123
19,660
83,951
86,997
78,738
39,576
93,998
16,1417
60,1253
63,673
60,1070
12,1034
19,761
46,510
50,1463
82,1147
12,1181
52,848
50,1127
90,753
57,883
66,630
35,1163
19,1394
24,1072
39,1474
60,804
26,705
83,1334
97,613
41,568
43,951
31,1448
81,1070
39,523
14,940
15,1342
88,1168
59,1497
79,799
32,1199
10,900
12,661
69,758
58,1010
71,670
42,1322
85,516
15,609
50,534
51,598
29,1420
94,924
14,1325
66,1028
42,1179
54,896
88,1420
75,1183
59,1432
74,1429
74,650
87,912
85,1091
39,942
89,534
95,1289
54,669
40,730
94,822
94,1308
10,865
31,1269
75,641
60,1342
82,523
15,1365
92,1091
67,529
100,1369
26,1306
94,510
21,1046
62,996
58,1054
64,1414
98,699
15,755
69,752
42,609
66,658
15,744
32,1187
26,1180
90,1207
12,687
67,640
80,987
59,1259
83,651
12,681
74,864
27,843
83,849
59,514
67,879
91,1162
50,1386
86,1338
83,565
99,993
43,556
97,1331
98,508
16,715
78,782
97,723
19,968
30,1455
62,1352
69,845
21,1331
17,733
52,856
80,851
30,805
35,553
98,666
39,1094
93,1354
54,833
17,1086
75,661
26,1003
34,750
91,1274
60,1465
69,793
79,1201
22,1149
25,1260
54,776
58,814
89,577
62,807
86,1287
14,947
73,1078
73,1307
90,1224
67,935
53,843
99,1293
100,1478
11,1475
90,1426
70,1079
30,1427
47,835
68,1371
15,816
30,1473
45,1220
14,561
82,1131
31,774
38,1474
81,1345
11,1443
13,829
71,637
46,530
89,1338
20,798
91,841
87,1314
84,1016
32,1301
63,526
53,952
84,837
99,1293
10,532
11,646
38,649
31,771
24,921
92,1193
86,1139
55,620
43,1040
88,517
65,600
100,791
100,869
25,1355
80,659
21,897
19,1476
99,1357
43,1210
100,601
12,1310
40,1269
57,666
80,1308
79,1012
70,1262
40,522
25,1311
38,675
38,1289
34,812
13,716
24,919
45,602
10,770
85,1139
89,878
53,1408
62,1486
52,1131
16,1421
38,681
98,1325
92,525
63,1156
96,1215
32,1189
85,1136
27,883
